__label__19 ilerle;;;;;;
__label__19 ilerledim;;;;;;
__label__19 devam ;;;;;;
__label__19 devam ettim; ;;;;;
__label__19 devam et;;;;;;
__label__19 kos;;;;;;
__label__19 kostum;;;;;;
__label__19 kosarim;;;;;;
__label__19 devam ederim;;;;;;
__label__19 geri;;;;;;
__label__19 geri donerim;;;;;;
__label__19 geri dondum;;;;;;
__label__19 geri dondum;;;;;;
__label__19 arkama gittim;;;;;;
__label__20 etrafa bakarim;;;;;;
__label__20 isik yak;;;;;;
__label__20 etrafa bak;;;;;;
__label__20 etrafa baktim;;;;;;
__label__20 yere bak;;;;;;
__label__20 yere baktım;;;;;;
__label__20 yere bakarim;;;;;;
__label__20 yere baka;;;;;;
__label__20 mesale bul;;;;;;
__label__20 mesele ;;;;;;
__label__20 arastir;;;;;;
__label__20 arastirdim;;;;;;
__label__21 magaraya ilerle;;;;;;;;;;;;;;;
__label__21 magaraya kos;;;;;;;;;;;;;;;
__label__21 magaraya bak;;;;;;;;;;;;;;;
__label__21 magaraya surun;;;;;;;;;;;;;;;
__label__21 magaraya git;;;;;;;;;;;;;;;
__label__21 magaraya atla;;;;;;;;;;;;;;;
__label__21 magara;;;;;;;;;;;;;;;
__label__21 ormana gitme;;;;;;;;;;;;;;;
__label__21 magara ilerle;;;;;;;;;;;;;;;
__label__21 magara kos;;;;;;;;;;;;;;;
__label__21 magara bak;;;;;;;;;;;;;;;
__label__21 magara surun;;;;;;;;;;;;;;;
__label__21 magara git;;;;;;;;;;;;;;;
__label__21 magara atla;;;;;;;;;;;;;;;
__label__21 magara giderim;;;;;;;;;;;;;;;
__label__21 magaraya giderim;;;;;;;;;;;;;;;
__label__21 magara;;;;;;;;;;;;;;;
__label__21 ormana yuru;;;;;;;;;;;;;;;
__label__21 ormana dogru ilerle;;;;;;;;;;;;;;;
__label__21 Ormana kos;;;;;;;;;;;;;;;
__label__21 ormana bak;;;;;;;;;;;;;;;
__label__21 ormana surun;;;;;;;;;;;;;;;
__label__21 orman yuru;;;;;;;;;;;;;;;
__label__21 orman giderim;;;;;;;;;;;;;;;
__label__21 ormana giderim;;;;;;;;;;;;;;;
__label__21 orman dogru ilerle;;;;;;;;;;;;;;;
__label__21 orman kos;;;;;;;;;;;;;;;
__label__21 orman bak;;;;;;;;;;;;;;;
__label__21 orman surun;;;;;;;;;;;;;;;
__label__21 magaraya gitme;;;;;;;;;;;;;;;
__label__21 agaclara git;;;;;;;;;;;;;;;
__label__21 odun topla;;;;;;;;;;;;;;;
__label__21 orman;;;;;;;;;;;;;;;
__label__22 mesaleyi firlat
__label__22 mesaleyi firlattim
__label__22 mesaleyi at
__label__22 mesaleyi attim
__label__22 mesaleyi firlatirim
__label__22 mesaleyi atarim
__label__22 atesi at
__label__22 derinlige bak
__label__22 derinlige bakarim
__label__22 derinligee baktim
__label__22 ucuruma bak
__label__22 ucuruma bakarim
__label__22 ucuruma baktim
__label__22 mesale firlat
__label__22 mesale firlattim
__label__22 mesale at
__label__22 mesale attim
__label__22 mesale firlatirim
__label__22 mesale atarim
__label__22 ates at
__label__22 derinlik bak
__label__22 derinlik bakarim
__label__22 derinlik baktim
__label__22 ucurum bak
__label__22 ucurum bakarim
__label__22 ucurum baktim
__label__23 karsiya atladın
__label__23 atla
__label__23 atladim
__label__23 atlarim
__label__23 zipla
__label__23 karsiya atlarim
__label__23 karsiya atladim
__label__23 karsiya atla
__label__23 karsiya zipla
__label__23 karsiya zipladim
__label__23 karsiya ziplarim
__label__23 dikkatlice karsiya atladın
__label__23 dikkatlice atla
__label__23 dikkatlice atladim
__label__23 dikkatlice atlarim
__label__23 dikkatlice zipla
__label__23 dikkatlice karsiya atlarim
__label__23 dikkatlice arsiya atladim
__label__23 dikkatlice karsiya atla
__label__23 dikkatlice karsiya zipla
__label__23 dikkatlice karsiya zipladim
__label__23 dikkatlice karsiya ziplarim
__label__24 kan kaybinini durdur
__label__24 kan kaybinini durdururum
__label__24 kan kaybinini durdurdum
__label__24 bandaj 
__label__24 bandaj yaparim
__label__24 bandaj yaptim
__label__24 bandaj yap
__label__24 tampon 
__label__24 tampon yaparim
__label__24 tampon yaptim
__label__24 tampon yap
__label__24 kan kan kan
__label__24 kanamayi durdur
__label__24 dinlen
__label__24 dinlenirim
__label__24 kacarim
__label__24 kactim
__label__24 kafami sararim
__label__24 kafami sardim
__label__24 kafam sararim
__label__24 kafami sar
__label__24 kafam sar
__label__24 kafam sardim
__label__24 kafami temizle
__label__24 yarayi sar
__label__24 yarayi temizle
__label__24 yarayi sararim
__label__24 yarayi sardim
__label__24 yarayi sararim
__label__24 yarayi sar
__label__24 yarayi sardim
__label__24 yara temizle
__label__24 yara sararim
__label__24 yara sardim
__label__24 yara sararim
__label__24 yara sar
__label__24 yara sardim





